,,,-31.49440002,-512.000024319E-3,
,,,-31.49119949,-512.000024319E-3,
,,,-31.48800087,-512.000024319E-3,
,,,-31.48480034,-512.000024319E-3,
,,,-31.48159981,-512.000024319E-3,
,,,-31.47839928,-512.000024319E-3,
,,,-31.47520065,-512.000024319E-3,
,,,-31.47200012,-512.000024319E-3,
,,,-31.46879959,-512.000024319E-3,
,,,-31.46559906,-512.000024319E-3,
,,,-31.46240044,-512.000024319E-3,
,,,-31.45919991,-512.000024319E-3,
,,,-31.45599937,-512.000024319E-3,
,,,-31.45280075,-512.000024319E-3,
,,,-31.44960022,-512.000024319E-3,
,,,-31.44639969,-512.000024319E-3,
,,,-31.44319916,-512.000024319E-3,
,,,-31.44000053,-512.000024319E-3,
,,,-31.43680000,-512.000024319E-3,
,,,-31.43359947,-512.000024319E-3,
,,,-31.43040085,-512.000024319E-3,
,,,-31.42720032,-512.000024319E-3,
,,,-31.42399979,-512.000024319E-3,
,,,-31.42079926,-512.000024319E-3,
,,,-31.41760063,-512.000024319E-3,
,,,-31.41440010,-512.000024319E-3,
,,,-31.41119957,-512.000024319E-3,
,,,-31.40799904,-512.000024319E-3,
,,,-31.40480042,-512.000024319E-3,
,,,-31.40159988,-512.000024319E-3,
,,,-31.39839935,-512.000024319E-3,
,,,-31.39520073,-512.000024319E-3,
,,,-31.39200020,-512.000024319E-3,
,,,-31.38879967,-512.000024319E-3,
,,,-31.38559914,-512.000024319E-3,
,,,-31.38240051,-512.000024319E-3,
,,,-31.37919998,-512.000024319E-3,
,,,-31.37599945,-512.000024319E-3,
,,,-31.37280083,-512.000024319E-3,
,,,-31.36960030,-512.000024319E-3,
,,,-31.36639977,-512.000024319E-3,
,,,-31.36319923,-512.000024319E-3,
,,,-31.36000061,-512.000024319E-3,
,,,-31.35680008,-512.000024319E-3,
,,,-31.35359955,-512.000024319E-3,
,,,-31.35039902,-512.000024319E-3,
,,,-31.34720039,-512.000024319E-3,
,,,-31.34399986,-512.000024319E-3,
,,,-31.34079933,-512.000024319E-3,
,,,-31.33760071,-512.000024319E-3,
,,,-31.33440018,-512.000024319E-3,
,,,-31.33119965,-512.000024319E-3,
,,,-31.32799911,-512.000024319E-3,
,,,-31.32480049,-512.000024319E-3,
,,,-31.32159996,-512.000024319E-3,
,,,-31.31839943,-512.000024319E-3,
,,,-31.31520081,-512.000024319E-3,
,,,-31.31200027,-512.000024319E-3,
,,,-31.30879974,-512.000024319E-3,
,,,-31.30559921,-512.000024319E-3,
,,,-31.30240059,-512.000024319E-3,
,,,-31.29920006,-512.000024319E-3,
,,,-31.29599953,-512.000024319E-3,
